x,y,z,type,volume,cycle entry,custom:GFP,custom:sample
-97.6186835613734,-335.428757901573,0,cancer,,,,
-80.793262465465,-335.428757901573,0,cancer,,,,
-63.9678413695565,-335.428757901573,0,cancer,,,,
-47.1424202736481,-335.428757901573,0,cancer,,,,
-30.3169991777397,-335.428757901573,0,cancer,,,,
-13.4915780818312,-335.428757901573,0,cancer,,,,
3.33384301407722,-335.428757901573,0,cancer,,,,
20.1592641099857,-335.428757901573,0,cancer,,,,
36.9846852058941,-335.428757901573,0,cancer,,,,
53.8101063018025,-335.428757901573,0,cancer,,,,
70.635527397711,-335.428757901573,0,cancer,,,,
87.4609484936194,-335.428757901573,0,cancer,,,,
-139.682236301145,-320.857515803145,0,cancer,,,,
-122.856815205236,-320.857515803145,0,cancer,,,,
-106.031394109328,-320.857515803145,0,cancer,,,,
-89.2059730134192,-320.857515803145,0,cancer,,,,
-72.3805519175108,-320.857515803145,0,cancer,,,,
-55.5551308216023,-320.857515803145,0,cancer,,,,
-38.7297097256939,-320.857515803145,0,cancer,,,,
-21.9042886297854,-320.857515803145,0,cancer,,,,
-5.07886753387699,-320.857515803145,0,cancer,,,,
11.7465535620314,-320.857515803145,0,cancer,,,,
28.5719746579399,-320.857515803145,0,cancer,,,,
45.3973957538483,-320.857515803145,0,cancer,,,,
62.2228168497568,-320.857515803145,0,cancer,,,,
79.0482379456652,-320.857515803145,0,cancer,,,,
95.8736590415736,-320.857515803145,0,cancer,,,,
112.699080137482,-320.857515803145,0,cancer,,,,
129.524501233391,-320.857515803145,0,cancer,,,,
-164.920367945007,-306.286273704718,0,cancer,,,,
-148.094946849099,-306.286273704718,0,cancer,,,,
-131.26952575319,-306.286273704718,0,cancer,,,,
-114.444104657282,-306.286273704718,0,cancer,,,,
-97.6186835613734,-306.286273704718,0,cancer,,,,
-80.793262465465,-306.286273704718,0,cancer,,,,
-63.9678413695565,-306.286273704718,0,cancer,,,,
-47.1424202736481,-306.286273704718,0,cancer,,,,
-30.3169991777397,-306.286273704718,0,cancer,,,,
-13.4915780818312,-306.286273704718,0,cancer,,,,
3.33384301407722,-306.286273704718,0,cancer,,,,
20.1592641099857,-306.286273704718,0,cancer,,,,
36.9846852058941,-306.286273704718,0,cancer,,,,
53.8101063018025,-306.286273704718,0,cancer,,,,
70.635527397711,-306.286273704718,0,cancer,,,,
87.4609484936194,-306.286273704718,0,cancer,,,,
104.286369589528,-306.286273704718,0,cancer,,,,
121.111790685436,-306.286273704718,0,cancer,,,,
137.937211781345,-306.286273704718,0,cancer,,,,
154.762632877253,-306.286273704718,0,cancer,,,,
-190.15849958887,-291.715031606291,0,cancer,,,,
-173.333078492961,-291.715031606291,0,cancer,,,,
-156.507657397053,-291.715031606291,0,cancer,,,,
-139.682236301145,-291.715031606291,0,cancer,,,,
-122.856815205236,-291.715031606291,0,cancer,,,,
-106.031394109328,-291.715031606291,0,cancer,,,,
-89.2059730134192,-291.715031606291,0,cancer,,,,
-72.3805519175108,-291.715031606291,0,cancer,,,,
-55.5551308216023,-291.715031606291,0,cancer,,,,
-38.7297097256939,-291.715031606291,0,cancer,,,,
-21.9042886297854,-291.715031606291,0,cancer,,,,
-5.07886753387699,-291.715031606291,0,cancer,,,,
11.7465535620314,-291.715031606291,0,cancer,,,,
28.5719746579399,-291.715031606291,0,cancer,,,,
45.3973957538483,-291.715031606291,0,cancer,,,,
62.2228168497568,-291.715031606291,0,cancer,,,,
79.0482379456652,-291.715031606291,0,cancer,,,,
95.8736590415736,-291.715031606291,0,cancer,,,,
112.699080137482,-291.715031606291,0,cancer,,,,
129.524501233391,-291.715031606291,0,cancer,,,,
146.349922329299,-291.715031606291,0,cancer,,,,
163.175343425207,-291.715031606291,0,cancer,,,,
180.000764521116,-291.715031606291,0,cancer,,,,
-198.571210136824,-277.143789507863,0,cancer,,,,
-181.745789040916,-277.143789507863,0,cancer,,,,
-164.920367945007,-277.143789507863,0,cancer,,,,
-148.094946849099,-277.143789507863,0,cancer,,,,
-131.26952575319,-277.143789507863,0,cancer,,,,
-114.444104657282,-277.143789507863,0,cancer,,,,
-97.6186835613734,-277.143789507863,0,cancer,,,,
-80.793262465465,-277.143789507863,0,cancer,,,,
-63.9678413695565,-277.143789507863,0,cancer,,,,
-47.1424202736481,-277.143789507863,0,cancer,,,,
-30.3169991777397,-277.143789507863,0,cancer,,,,
-13.4915780818312,-277.143789507863,0,cancer,,,,
3.33384301407722,-277.143789507863,0,cancer,,,,
20.1592641099857,-277.143789507863,0,cancer,,,,
36.9846852058941,-277.143789507863,0,cancer,,,,
53.8101063018025,-277.143789507863,0,cancer,,,,
70.635527397711,-277.143789507863,0,cancer,,,,
87.4609484936194,-277.143789507863,0,cancer,,,,
104.286369589528,-277.143789507863,0,cancer,,,,
